"","batter","hit","out","total","obp"
"1",408234,85,237,322,0.263975155279503
"2",425794,0,2,2,0
"3",443558,33,100,133,0.24812030075188
"4",444482,101,268,369,0.273712737127371
"5",444489,3,9,12,0.25
"6",446334,47,161,208,0.225961538461538
"7",453568,100,255,355,0.28169014084507
"8",455117,69,286,355,0.194366197183099
"9",456781,110,273,383,0.287206266318538
"10",457705,97,277,374,0.259358288770053
"11",457759,151,388,539,0.280148423005566
"12",458015,40,158,198,0.202020202020202
"13",462101,94,268,362,0.259668508287293
"14",467793,132,389,521,0.253358925143954
"15",474832,84,241,325,0.258461538461538
"16",488726,15,37,52,0.288461538461538
"17",493329,72,208,280,0.257142857142857
"18",500743,90,270,360,0.25
"19",500871,64,205,269,0.237918215613383
"20",501303,0,9,9,0
"21",501659,1,13,14,0.0714285714285714
"22",502054,108,298,406,0.266009852216749
"23",502110,116,307,423,0.274231678486998
"24",502671,156,414,570,0.273684210526316
"25",506702,6,35,41,0.146341463414634
"26",514888,112,231,343,0.326530612244898
"27",516416,65,219,284,0.22887323943662
"28",516782,78,223,301,0.259136212624585
"29",518586,1,0,1,1
"30",518595,59,196,255,0.231372549019608
"31",518626,25,132,157,0.159235668789809
"32",518692,207,402,609,0.339901477832512
"33",518735,83,268,351,0.236467236467236
"34",518792,89,231,320,0.278125
"35",518934,118,355,473,0.249471458773784
"36",519058,87,260,347,0.250720461095101
"37",519203,90,269,359,0.250696378830084
"38",519317,68,289,357,0.19047619047619
"39",521692,135,388,523,0.258126195028681
"40",527038,112,277,389,0.287917737789203
"41",541645,20,83,103,0.194174757281553
"42",542194,70,233,303,0.231023102310231
"43",542208,38,121,159,0.238993710691824
"44",542303,144,363,507,0.284023668639053
"45",542364,25,82,107,0.233644859813084
"46",542583,23,80,103,0.223300970873786
"47",542932,113,260,373,0.302949061662198
"48",543063,54,213,267,0.202247191011236
"49",543068,61,183,244,0.25
"50",543228,101,267,368,0.27445652173913
"51",543257,84,258,342,0.245614035087719
"52",543281,20,78,98,0.204081632653061
"53",543305,68,195,263,0.258555133079848
"54",543309,56,178,234,0.239316239316239
"55",543333,22,68,90,0.244444444444444
"56",543482,2,4,6,0.333333333333333
"57",543510,45,150,195,0.230769230769231
"58",543543,12,42,54,0.222222222222222
"59",543592,18,105,123,0.146341463414634
"60",543685,34,104,138,0.246376811594203
"61",543760,180,460,640,0.28125
"62",543807,154,426,580,0.26551724137931
"63",543877,73,242,315,0.231746031746032
"64",543939,41,173,214,0.191588785046729
"65",545121,64,183,247,0.259109311740891
"66",545341,115,299,414,0.277777777777778
"67",545350,18,55,73,0.246575342465753
"68",545361,81,208,289,0.280276816608997
"69",547180,131,309,440,0.297727272727273
"70",547379,2,11,13,0.153846153846154
"71",547989,127,386,513,0.247563352826511
"72",553869,130,339,469,0.277185501066098
"73",553882,27,99,126,0.214285714285714
"74",553993,136,443,579,0.234887737478411
"75",570482,64,141,205,0.31219512195122
"76",570731,27,100,127,0.21259842519685
"77",571448,147,382,529,0.277882797731569
"78",571466,21,84,105,0.2
"79",571657,85,237,322,0.263975155279503
"80",571740,0,2,2,0
"81",571745,44,165,209,0.210526315789474
"82",571771,108,339,447,0.241610738255034
"83",571875,11,39,50,0.22
"84",571912,42,131,173,0.242774566473988
"85",571970,101,363,464,0.217672413793103
"86",571976,24,102,126,0.19047619047619
"87",571980,0,8,8,0
"88",572008,4,20,24,0.166666666666667
"89",572041,22,106,128,0.171875
"90",572138,15,74,89,0.168539325842697
"91",572191,77,262,339,0.227138643067847
"92",572204,25,126,151,0.165562913907285
"93",572228,15,51,66,0.227272727272727
"94",572233,149,416,565,0.263716814159292
"95",572287,22,100,122,0.180327868852459
"96",572761,33,153,186,0.17741935483871
"97",572816,36,101,137,0.262773722627737
"98",573131,11,37,48,0.229166666666667
"99",573262,77,250,327,0.235474006116208
"100",575929,111,293,404,0.274752475247525
"101",578570,2,17,19,0.105263157894737
"102",592178,69,219,288,0.239583333333333
"103",592192,114,299,413,0.276029055690073
"104",592200,14,65,79,0.177215189873418
"105",592206,165,424,589,0.280135823429542
"106",592273,127,342,469,0.270788912579957
"107",592325,3,10,13,0.230769230769231
"108",592450,97,259,356,0.27247191011236
"109",592518,137,382,519,0.263969171483622
"110",592626,83,257,340,0.244117647058824
"111",592656,18,54,72,0.25
"112",592663,122,335,457,0.266958424507659
"113",592669,115,353,468,0.245726495726496
"114",592696,122,338,460,0.265217391304348
"115",592885,151,383,534,0.282771535580524
"116",593160,149,376,525,0.283809523809524
"117",593428,167,394,561,0.297682709447415
"118",593643,18,58,76,0.236842105263158
"119",593871,77,219,296,0.260135135135135
"120",594777,34,119,153,0.222222222222222
"121",594807,79,225,304,0.259868421052632
"122",595281,98,250,348,0.281609195402299
"123",595453,31,117,148,0.209459459459459
"124",595751,7,40,47,0.148936170212766
"125",595777,109,332,441,0.247165532879819
"126",595879,112,367,479,0.233820459290188
"127",595909,39,143,182,0.214285714285714
"128",595956,18,123,141,0.127659574468085
"129",595978,34,146,180,0.188888888888889
"130",596019,152,428,580,0.262068965517241
"131",596059,28,104,132,0.212121212121212
"132",596103,50,126,176,0.284090909090909
"133",596115,32,117,149,0.214765100671141
"134",596117,23,81,104,0.221153846153846
"135",596129,63,201,264,0.238636363636364
"136",596142,49,177,226,0.216814159292035
"137",596146,112,308,420,0.266666666666667
"138",596847,17,87,104,0.163461538461538
"139",598265,14,82,96,0.145833333333333
"140",600301,13,61,74,0.175675675675676
"141",600303,4,17,21,0.19047619047619
"142",600869,122,363,485,0.251546391752577
"143",602074,20,53,73,0.273972602739726
"144",602104,95,251,346,0.274566473988439
"145",605113,42,147,189,0.222222222222222
"146",605119,70,235,305,0.229508196721311
"147",605131,32,141,173,0.184971098265896
"148",605137,131,392,523,0.250478011472275
"149",605141,176,392,568,0.309859154929577
"150",605170,51,139,190,0.268421052631579
"151",605204,115,338,453,0.253863134657837
"152",605242,0,1,1,0
"153",605361,19,51,70,0.271428571428571
"154",605421,4,4,8,0.5
"155",605612,65,184,249,0.261044176706827
"156",606115,127,339,466,0.272532188841202
"157",606132,33,108,141,0.234042553191489
"158",606192,158,435,593,0.266441821247892
"159",606466,156,385,541,0.288354898336414
"160",606992,54,200,254,0.21259842519685
"161",607043,161,411,572,0.281468531468531
"162",607054,77,282,359,0.214484679665738
"163",607208,168,436,604,0.278145695364238
"164",607461,14,43,57,0.245614035087719
"165",607680,45,147,192,0.234375
"166",607732,46,187,233,0.197424892703863
"167",608070,170,413,583,0.291595197255575
"168",608324,160,442,602,0.26578073089701
"169",608336,48,228,276,0.173913043478261
"170",608348,28,108,136,0.205882352941176
"171",608360,0,2,2,0
"172",608369,152,306,458,0.331877729257642
"173",608385,32,126,158,0.20253164556962
"174",608596,39,100,139,0.280575539568345
"175",608671,62,163,225,0.275555555555556
"176",608701,48,143,191,0.25130890052356
"177",608703,1,3,4,0.25
"178",608841,167,424,591,0.282571912013536
"179",609280,21,57,78,0.269230769230769
"180",613564,10,51,61,0.163934426229508
"181",614173,13,55,68,0.191176470588235
"182",614177,11,47,58,0.189655172413793
"183",620443,7,21,28,0.25
"184",621020,137,404,541,0.253234750462107
"185",621028,56,157,213,0.262910798122066
"186",621035,79,245,324,0.243827160493827
"187",621043,117,375,492,0.23780487804878
"188",621311,1,8,9,0.111111111111111
"189",621433,11,52,63,0.174603174603175
"190",621438,53,169,222,0.238738738738739
"191",621439,62,225,287,0.21602787456446
"192",621458,2,26,28,0.0714285714285714
"193",621466,39,119,158,0.246835443037975
"194",621493,89,247,336,0.264880952380952
"195",621512,7,46,53,0.132075471698113
"196",621532,2,9,11,0.181818181818182
"197",621545,37,99,136,0.272058823529412
"198",621550,55,200,255,0.215686274509804
"199",621563,62,219,281,0.220640569395018
"200",621566,169,420,589,0.286926994906621
"201",622110,47,129,176,0.267045454545455
"202",622250,0,1,1,0
"203",622534,81,216,297,0.272727272727273
"204",622569,48,112,160,0.3
"205",622666,4,13,17,0.235294117647059
"206",622761,69,232,301,0.229235880398671
"207",623168,9,29,38,0.236842105263158
"208",623205,14,63,77,0.181818181818182
"209",623507,4,17,21,0.19047619047619
"210",623912,125,247,372,0.336021505376344
"211",623993,151,423,574,0.263066202090592
"212",624413,123,421,544,0.226102941176471
"213",624414,46,137,183,0.251366120218579
"214",624415,68,212,280,0.242857142857143
"215",624424,97,297,394,0.246192893401015
"216",624428,99,297,396,0.25
"217",624431,32,116,148,0.216216216216216
"218",624503,16,69,85,0.188235294117647
"219",624512,50,131,181,0.276243093922652
"220",624585,124,354,478,0.259414225941423
"221",624641,68,191,259,0.262548262548263
"222",628451,93,245,338,0.275147928994083
"223",630105,104,334,438,0.237442922374429
"224",640449,13,50,63,0.206349206349206
"225",640457,5,16,21,0.238095238095238
