"","batter","hit","out","total","obp"
"1",425794,0,2,2,0
"2",443558,30,82,112,0.267857142857143
"3",444482,72,196,268,0.26865671641791
"4",446334,35,118,153,0.22875816993464
"5",453568,73,182,255,0.286274509803922
"6",457705,68,190,258,0.263565891472868
"7",458015,34,114,148,0.22972972972973
"8",467793,94,261,355,0.264788732394366
"9",493329,49,138,187,0.262032085561497
"10",500743,59,180,239,0.246861924686192
"11",500871,20,52,72,0.277777777777778
"12",501303,0,9,9,0
"13",501659,1,12,13,0.0769230769230769
"14",502054,82,217,299,0.274247491638796
"15",502110,83,221,304,0.273026315789474
"16",502671,109,293,402,0.271144278606965
"17",516416,40,148,188,0.212765957446809
"18",516782,60,167,227,0.26431718061674
"19",518595,51,145,196,0.260204081632653
"20",518626,10,49,59,0.169491525423729
"21",518692,145,293,438,0.331050228310502
"22",518792,63,166,229,0.275109170305677
"23",519058,22,66,88,0.25
"24",527038,76,191,267,0.284644194756554
"25",541645,12,54,66,0.181818181818182
"26",542303,112,267,379,0.295514511873351
"27",542364,19,62,81,0.234567901234568
"28",542932,84,181,265,0.316981132075472
"29",543063,39,133,172,0.226744186046512
"30",543068,35,101,136,0.257352941176471
"31",543228,78,183,261,0.298850574712644
"32",543281,13,49,62,0.209677419354839
"33",543333,16,45,61,0.262295081967213
"34",543482,2,4,6,0.333333333333333
"35",543592,14,83,97,0.144329896907216
"36",543939,8,16,24,0.333333333333333
"37",545121,46,115,161,0.285714285714286
"38",545341,54,110,164,0.329268292682927
"39",545350,0,3,3,0
"40",547180,94,231,325,0.289230769230769
"41",553869,89,245,334,0.266467065868263
"42",553882,21,75,96,0.21875
"43",571448,96,277,373,0.257372654155496
"44",571466,12,60,72,0.166666666666667
"45",571745,40,130,170,0.235294117647059
"46",571771,31,86,117,0.264957264957265
"47",571912,29,95,124,0.233870967741935
"48",571970,68,270,338,0.201183431952663
"49",571976,20,80,100,0.2
"50",572008,1,9,10,0.1
"51",572041,0,3,3,0
"52",572138,1,7,8,0.125
"53",572204,8,55,63,0.126984126984127
"54",572228,11,29,40,0.275
"55",572233,113,296,409,0.276283618581907
"56",572761,26,102,128,0.203125
"57",572816,28,78,106,0.264150943396226
"58",573131,6,23,29,0.206896551724138
"59",573262,53,190,243,0.218106995884774
"60",575929,81,215,296,0.273648648648649
"61",578570,2,17,19,0.105263157894737
"62",592178,52,161,213,0.244131455399061
"63",592192,91,228,319,0.285266457680251
"64",592200,10,49,59,0.169491525423729
"65",592206,119,302,421,0.282660332541568
"66",592325,2,4,6,0.333333333333333
"67",592518,102,286,388,0.262886597938144
"68",592626,60,179,239,0.251046025104602
"69",592656,8,25,33,0.242424242424242
"70",592663,82,236,318,0.257861635220126
"71",592669,3,22,25,0.12
"72",592696,93,236,329,0.282674772036474
"73",592885,102,272,374,0.272727272727273
"74",593428,120,288,408,0.294117647058824
"75",595751,4,21,25,0.16
"76",595777,69,239,308,0.224025974025974
"77",595909,22,97,119,0.184873949579832
"78",595978,21,97,118,0.177966101694915
"79",596019,111,300,411,0.27007299270073
"80",596059,18,67,85,0.211764705882353
"81",596103,40,85,125,0.32
"82",596117,17,62,79,0.215189873417722
"83",596129,45,143,188,0.23936170212766
"84",596142,36,123,159,0.226415094339623
"85",596847,9,55,64,0.140625
"86",600301,7,42,49,0.142857142857143
"87",600869,82,264,346,0.236994219653179
"88",602074,19,46,65,0.292307692307692
"89",605113,36,110,146,0.246575342465753
"90",605119,41,141,182,0.225274725274725
"91",605131,22,109,131,0.16793893129771
"92",605137,40,110,150,0.266666666666667
"93",605141,120,272,392,0.306122448979592
"94",605170,39,93,132,0.295454545454545
"95",605204,82,238,320,0.25625
"96",605242,0,1,1,0
"97",605361,16,38,54,0.296296296296296
"98",605421,4,1,5,0.8
"99",605612,46,129,175,0.262857142857143
"100",606115,95,243,338,0.281065088757396
"101",606132,7,34,41,0.170731707317073
"102",606466,117,278,395,0.29620253164557
"103",607043,124,286,410,0.302439024390244
"104",607054,12,50,62,0.193548387096774
"105",607208,114,309,423,0.269503546099291
"106",607461,0,1,1,0
"107",607680,35,107,142,0.246478873239437
"108",607732,35,137,172,0.203488372093023
"109",608348,12,51,63,0.19047619047619
"110",608385,27,85,112,0.241071428571429
"111",608703,0,1,1,0
"112",608841,120,298,418,0.287081339712919
"113",609280,18,36,54,0.333333333333333
"114",613564,9,44,53,0.169811320754717
"115",620443,2,10,12,0.166666666666667
"116",621020,108,295,403,0.267990074441687
"117",621028,33,110,143,0.230769230769231
"118",621035,57,183,240,0.2375
"119",621311,1,8,9,0.111111111111111
"120",621438,39,130,169,0.230769230769231
"121",621458,1,19,20,0.05
"122",621466,23,73,96,0.239583333333333
"123",621512,6,38,44,0.136363636363636
"124",621550,40,137,177,0.225988700564972
"125",621563,33,154,187,0.176470588235294
"126",621566,125,303,428,0.292056074766355
"127",622666,1,9,10,0.1
"128",624413,83,305,388,0.213917525773196
"129",624424,67,201,268,0.25
"130",624585,95,244,339,0.28023598820059
"131",624641,47,135,182,0.258241758241758
"132",630105,71,241,312,0.227564102564103
"133",640458,9,12,21,0.428571428571429
"134",640492,16,55,71,0.225352112676056
"135",641355,114,232,346,0.329479768786127
"136",641505,11,23,34,0.323529411764706
"137",641511,27,85,112,0.241071428571429
"138",641525,14,38,52,0.269230769230769
"139",641553,0,4,4,0
"140",641584,65,175,240,0.270833333333333
"141",641645,21,62,83,0.253012048192771
"142",641658,47,126,173,0.271676300578035
"143",641786,7,37,44,0.159090909090909
"144",641796,11,34,45,0.244444444444444
"145",641820,35,115,150,0.233333333333333
"146",641857,96,281,377,0.254641909814324
"147",641933,45,124,169,0.266272189349112
"148",641943,54,141,195,0.276923076923077
"149",642086,98,264,362,0.270718232044199
"150",642133,42,141,183,0.229508196721311
"151",642201,0,6,6,0
"152",642215,4,8,12,0.333333333333333
"153",642708,23,68,91,0.252747252747253
"154",642715,78,285,363,0.214876033057851
"155",642731,92,245,337,0.27299703264095
"156",642851,24,70,94,0.25531914893617
"157",643265,81,207,288,0.28125
"158",643446,113,277,390,0.28974358974359
"159",643565,65,171,236,0.275423728813559
"160",644433,2,5,7,0.285714285714286
"161",645277,126,299,425,0.296470588235294
"162",645302,22,42,64,0.34375
"163",645444,15,57,72,0.208333333333333
"164",647351,4,5,9,0.444444444444444
"165",649966,5,25,30,0.166666666666667
"166",650333,138,233,371,0.371967654986523
"167",650559,105,281,386,0.272020725388601
"168",655316,60,149,209,0.287081339712919
"169",656180,30,67,97,0.309278350515464
"170",656248,7,20,27,0.259259259259259
"171",656308,12,43,55,0.218181818181818
"172",656371,0,16,16,0
"173",656403,5,10,15,0.333333333333333
"174",656413,39,118,157,0.248407643312102
"175",656448,38,109,147,0.258503401360544
"176",656495,3,15,18,0.166666666666667
"177",656537,7,23,30,0.233333333333333
"178",656541,14,36,50,0.28
"179",656582,80,208,288,0.277777777777778
"180",656896,47,122,169,0.27810650887574
"181",656941,86,314,400,0.215
"182",656976,26,104,130,0.2
"183",657041,126,305,431,0.292343387470998
"184",657061,4,4,8,0.5
"185",657088,6,7,13,0.461538461538462
"186",657557,58,175,233,0.248927038626609
"187",660620,5,38,43,0.116279069767442
"188",660634,1,4,5,0.2
"189",660636,0,1,1,0
"190",660670,160,285,445,0.359550561797753
"191",660688,88,270,358,0.245810055865922
"192",660707,47,149,196,0.239795918367347
"193",660766,10,35,45,0.222222222222222
"194",660821,61,180,241,0.253112033195021
"195",661388,119,264,383,0.310704960835509
"196",661531,3,14,17,0.176470588235294
"197",663330,2,7,9,0.222222222222222
"198",663368,22,90,112,0.196428571428571
"199",663457,62,195,257,0.24124513618677
"200",663538,123,305,428,0.287383177570093
"201",663586,134,299,433,0.309468822170901
"202",663609,16,56,72,0.222222222222222
"203",663611,51,143,194,0.262886597938144
"204",663647,101,237,338,0.298816568047337
"205",663697,85,227,312,0.272435897435897
"206",663698,12,55,67,0.17910447761194
"207",663731,0,4,4,0
"208",663743,39,164,203,0.192118226600985
"209",663757,74,256,330,0.224242424242424
"210",663796,3,19,22,0.136363636363636
"211",663845,20,64,84,0.238095238095238
"212",663886,81,224,305,0.265573770491803
"213",663897,1,18,19,0.0526315789473684
"214",663898,36,75,111,0.324324324324324
"215",663905,5,26,31,0.161290322580645
"216",664023,104,290,394,0.263959390862944
"217",664029,10,22,32,0.3125
"218",664056,3,12,15,0.2
"219",664670,1,1,2,0.5
"220",664761,103,276,379,0.271767810026385
"221",664774,74,210,284,0.26056338028169
"222",664874,4,6,10,0.4
"223",664901,7,31,38,0.184210526315789
"224",664954,13,39,52,0.25
"225",664983,46,140,186,0.247311827956989
"226",665019,26,89,115,0.226086956521739
"227",665487,97,270,367,0.264305177111717
"228",665506,14,43,57,0.245614035087719
"229",665742,109,288,397,0.27455919395466
"230",665804,22,79,101,0.217821782178218
"231",665833,4,6,10,0.4
"232",665862,71,199,270,0.262962962962963
"233",665877,9,31,40,0.225
"234",666134,72,163,235,0.306382978723404
"235",666149,7,24,31,0.225806451612903
"236",666150,19,40,59,0.322033898305085
"237",666164,3,19,22,0.136363636363636
"238",666165,52,144,196,0.26530612244898
"239",666181,51,145,196,0.260204081632653
"240",666185,33,112,145,0.227586206896552
"241",666198,10,52,62,0.161290322580645
"242",666624,65,186,251,0.258964143426295
"243",666703,6,17,23,0.260869565217391
"244",666801,32,123,155,0.206451612903226
"245",666906,26,80,106,0.245283018867925
"246",666971,98,280,378,0.259259259259259
"247",667472,13,35,48,0.270833333333333
"248",668663,0,2,2,0
"249",668715,112,282,394,0.284263959390863
"250",668751,0,4,4,0
"251",668800,33,116,149,0.221476510067114
"252",668804,96,289,385,0.249350649350649
"253",668901,29,105,134,0.216417910447761
"254",668930,64,206,270,0.237037037037037
"255",668942,38,105,143,0.265734265734266
"256",669003,15,40,55,0.272727272727273
"257",669016,86,202,288,0.298611111111111
"258",669023,0,3,3,0
"259",669134,35,63,98,0.357142857142857
"260",669221,66,181,247,0.267206477732794
"261",669222,51,146,197,0.258883248730964
"262",669242,89,230,319,0.278996865203762
"263",669257,81,221,302,0.268211920529801
"264",669261,79,233,312,0.253205128205128
"265",669357,74,212,286,0.258741258741259
"266",669364,22,51,73,0.301369863013699
"267",669369,4,25,29,0.137931034482759
"268",669394,42,106,148,0.283783783783784
"269",669477,48,145,193,0.248704663212435
"270",669707,44,100,144,0.305555555555556
"271",669742,3,21,24,0.125
"272",669743,56,195,251,0.223107569721116
"273",669911,12,73,85,0.141176470588235
"274",670032,15,37,52,0.288461538461538
"275",670128,0,4,4,0
"276",670156,23,56,79,0.291139240506329
"277",670223,9,47,56,0.160714285714286
"278",670276,0,6,6,0
"279",670712,9,34,43,0.209302325581395
"280",670770,88,240,328,0.268292682926829
"281",671056,8,19,27,0.296296296296296
"282",671083,4,15,19,0.210526315789474
"283",671218,5,28,33,0.151515151515152
"284",671277,88,236,324,0.271604938271605
"285",671739,111,245,356,0.311797752808989
"286",672275,53,169,222,0.238738738738739
"287",672279,0,5,5,0
"288",672515,71,159,230,0.308695652173913
"289",672695,69,210,279,0.247311827956989
"290",672744,5,11,16,0.3125
"291",672779,35,112,147,0.238095238095238
"292",673490,95,267,362,0.262430939226519
"293",673548,105,255,360,0.291666666666667
"294",675961,16,63,79,0.20253164556962
"295",675986,2,16,18,0.111111111111111
"296",676070,1,4,5,0.2
"297",676356,5,15,20,0.25
"298",676369,4,18,22,0.181818181818182
"299",676475,47,154,201,0.233830845771144
"300",676480,19,60,79,0.240506329113924
"301",676701,39,108,147,0.26530612244898
"302",676724,5,21,26,0.192307692307692
"303",676761,0,11,11,0
"304",676946,23,52,75,0.306666666666667
"305",677595,19,58,77,0.246753246753247
"306",677950,69,188,257,0.268482490272374
"307",678225,49,159,208,0.235576923076923
"308",678246,40,152,192,0.208333333333333
"309",678662,107,280,387,0.276485788113695
"310",678894,36,107,143,0.251748251748252
"311",679032,34,69,103,0.330097087378641
"312",680574,78,175,253,0.308300395256917
"313",680700,21,59,80,0.2625
"314",680779,41,134,175,0.234285714285714
"315",680814,6,26,32,0.1875
"316",680911,42,124,166,0.253012048192771
"317",680977,68,162,230,0.295652173913043
"318",681082,116,279,395,0.293670886075949
"319",681546,89,242,331,0.268882175226586
"320",681584,11,68,79,0.139240506329114
"321",681962,2,13,15,0.133333333333333
"322",682617,6,21,27,0.222222222222222
"323",682622,23,45,68,0.338235294117647
"324",682626,58,196,254,0.228346456692913
"325",682641,42,106,148,0.283783783783784
"326",682829,71,206,277,0.256317689530686
"327",682848,30,107,137,0.218978102189781
"328",682928,98,289,387,0.253229974160207
"329",682998,115,280,395,0.291139240506329
"330",683146,56,170,226,0.247787610619469
"331",683737,8,33,41,0.195121951219512
"332",685133,10,35,45,0.222222222222222
"333",686217,39,115,154,0.253246753246753
"334",686452,8,15,23,0.347826086956522
"335",686527,5,17,22,0.227272727272727
"336",686668,56,198,254,0.220472440944882
"337",686759,4,20,24,0.166666666666667
"338",686894,47,183,230,0.204347826086957
"339",687093,12,33,45,0.266666666666667
"340",687952,45,111,156,0.288461538461538
"341",689172,15,70,85,0.176470588235294
"342",691023,88,226,314,0.280254777070064
"343",691026,19,86,105,0.180952380952381
"344",691718,0,12,12,0
"345",691783,3,16,19,0.157894736842105
"346",693304,19,68,87,0.218390804597701
"347",696100,9,48,57,0.157894736842105
"348",696285,20,53,73,0.273972602739726
