"","pitcher","hit","out","total","obp"
"1",425794,151,270,421,0.358669833729216
"2",425844,158,383,541,0.292051756007394
"3",434378,134,438,572,0.234265734265734
"4",445276,37,125,162,0.228395061728395
"5",445926,26,93,119,0.218487394957983
"6",446372,69,157,226,0.305309734513274
"7",448179,165,400,565,0.292035398230089
"8",450203,146,430,576,0.253472222222222
"9",453178,16,48,64,0.25
"10",453268,32,128,160,0.2
"11",453286,126,437,563,0.223801065719361
"12",455117,5,1,6,0.833333333333333
"13",455119,45,137,182,0.247252747252747
"14",456501,51,142,193,0.264248704663212
"15",456713,11,31,42,0.261904761904762
"16",458681,189,517,706,0.267705382436261
"17",471911,115,242,357,0.322128851540616
"18",472551,11,15,26,0.423076923076923
"19",472610,56,154,210,0.266666666666667
"20",476595,17,38,55,0.309090909090909
"21",477132,100,363,463,0.215982721382289
"22",488984,28,66,94,0.297872340425532
"23",489119,96,317,413,0.232445520581114
"24",489446,35,167,202,0.173267326732673
"25",493603,46,167,213,0.215962441314554
"26",500743,3,7,10,0.3
"27",500779,75,203,278,0.26978417266187
"28",500871,2,8,10,0.2
"29",502043,198,506,704,0.28125
"30",502083,9,15,24,0.375
"31",502085,52,178,230,0.226086956521739
"32",502171,163,416,579,0.281519861830743
"33",502179,14,10,24,0.583333333333333
"34",502202,15,57,72,0.208333333333333
"35",502624,90,232,322,0.279503105590062
"36",506433,134,376,510,0.262745098039216
"37",506702,1,3,4,0.25
"38",517008,2,7,9,0.222222222222222
"39",518397,55,125,180,0.305555555555556
"40",518489,42,159,201,0.208955223880597
"41",518516,25,42,67,0.373134328358209
"42",518585,52,189,241,0.215767634854772
"43",518617,36,148,184,0.195652173913043
"44",518876,143,480,623,0.229534510433387
"45",518886,42,190,232,0.181034482758621
"46",519008,4,5,9,0.444444444444444
"47",519043,46,145,191,0.240837696335079
"48",519151,54,180,234,0.230769230769231
"49",519242,87,287,374,0.232620320855615
"50",519293,44,158,202,0.217821782178218
"51",521230,4,13,17,0.235294117647059
"52",523260,27,110,137,0.197080291970803
"53",527048,150,377,527,0.284629981024668
"54",527054,68,194,262,0.259541984732824
"55",541640,77,154,231,0.333333333333333
"56",542194,3,1,4,0.75
"57",542208,4,4,8,0.5
"58",542585,61,155,216,0.282407407407407
"59",542881,141,375,516,0.273255813953488
"60",542888,36,150,186,0.193548387096774
"61",542914,19,56,75,0.253333333333333
"62",542947,34,75,109,0.311926605504587
"63",543037,153,563,716,0.213687150837989
"64",543056,45,143,188,0.23936170212766
"65",543063,1,2,3,0.333333333333333
"66",543101,102,262,364,0.28021978021978
"67",543135,115,375,490,0.23469387755102
"68",543243,156,512,668,0.233532934131737
"69",543272,54,142,196,0.275510204081633
"70",543281,8,3,11,0.727272727272727
"71",543294,138,384,522,0.264367816091954
"72",543339,2,9,11,0.181818181818182
"73",543351,18,84,102,0.176470588235294
"74",543475,176,494,670,0.262686567164179
"75",543507,34,128,162,0.209876543209877
"76",543510,2,3,5,0.4
"77",543518,59,191,250,0.236
"78",543521,69,156,225,0.306666666666667
"79",543543,2,4,6,0.333333333333333
"80",543548,7,24,31,0.225806451612903
"81",543594,7,9,16,0.4375
"82",543766,39,123,162,0.240740740740741
"83",543859,63,217,280,0.225
"84",543901,17,38,55,0.309090909090909
"85",544727,13,30,43,0.302325581395349
"86",545121,2,2,4,0.5
"87",547179,138,413,551,0.250453720508167
"88",547184,13,46,59,0.220338983050847
"89",547943,53,145,198,0.267676767676768
"90",547973,37,171,208,0.177884615384615
"91",548384,44,152,196,0.224489795918367
"92",548389,104,252,356,0.292134831460674
"93",552640,12,33,45,0.266666666666667
"94",554340,67,175,242,0.276859504132231
"95",554430,156,513,669,0.233183856502242
"96",570257,13,29,42,0.30952380952381
"97",570632,50,115,165,0.303030303030303
"98",570666,46,69,115,0.4
"99",570731,1,4,5,0.2
"100",571466,7,10,17,0.411764705882353
"101",571479,25,70,95,0.263157894736842
"102",571510,69,198,267,0.258426966292135
"103",571539,28,65,93,0.301075268817204
"104",571578,210,468,678,0.309734513274336
"105",571616,4,10,14,0.285714285714286
"106",571656,54,203,257,0.21011673151751
"107",571670,70,144,214,0.327102803738318
"108",571710,4,9,13,0.307692307692308
"109",571760,143,409,552,0.259057971014493
"110",571863,41,101,142,0.288732394366197
"111",571875,1,3,4,0.25
"112",571882,50,151,201,0.248756218905473
"113",571901,65,126,191,0.340314136125654
"114",571912,9,9,18,0.5
"115",571927,108,288,396,0.272727272727273
"116",571945,226,547,773,0.292367399741268
"117",571946,19,120,139,0.136690647482014
"118",571948,48,172,220,0.218181818181818
"119",572008,2,3,5,0.4
"120",572020,93,265,358,0.259776536312849
"121",572193,18,30,48,0.375
"122",572403,49,165,214,0.228971962616822
"123",572888,2,8,10,0.2
"124",572955,60,169,229,0.262008733624454
"125",572971,45,101,146,0.308219178082192
"126",573009,35,104,139,0.251798561151079
"127",573124,39,142,181,0.215469613259669
"128",573186,115,366,481,0.239085239085239
"129",573204,23,86,109,0.211009174311927
"130",579328,152,435,587,0.258943781942078
"131",592094,35,155,190,0.184210526315789
"132",592222,2,1,3,0.666666666666667
"133",592229,44,101,145,0.303448275862069
"134",592254,16,48,64,0.25
"135",592332,163,524,687,0.2372634643377
"136",592346,7,8,15,0.466666666666667
"137",592351,149,422,571,0.260945709281961
"138",592390,0,3,3,0
"139",592426,26,92,118,0.220338983050847
"140",592454,25,107,132,0.189393939393939
"141",592473,2,17,19,0.105263157894737
"142",592527,4,8,12,0.333333333333333
"143",592662,4,9,13,0.307692307692308
"144",592741,46,119,165,0.278787878787879
"145",592767,141,375,516,0.273255813953488
"146",592773,40,143,183,0.218579234972678
"147",592779,19,76,95,0.2
"148",592789,104,248,352,0.295454545454545
"149",592791,156,430,586,0.266211604095563
"150",592826,35,107,142,0.246478873239437
"151",592836,155,478,633,0.244865718799368
"152",592848,9,39,48,0.1875
"153",592866,178,399,577,0.308492201039861
"154",593334,83,307,390,0.212820512820513
"155",593423,2,4,6,0.333333333333333
"156",593576,41,187,228,0.179824561403509
"157",593619,13,48,61,0.213114754098361
"158",593643,6,4,10,0.6
"159",593833,6,22,28,0.214285714285714
"160",593958,121,407,528,0.229166666666667
"161",593974,36,140,176,0.204545454545455
"162",594577,34,68,102,0.333333333333333
"163",594580,47,165,212,0.221698113207547
"164",594798,19,88,107,0.177570093457944
"165",594835,55,133,188,0.292553191489362
"166",594902,96,252,348,0.275862068965517
"167",594943,30,74,104,0.288461538461538
"168",595345,47,155,202,0.232673267326733
"169",595411,6,18,24,0.25
"170",595897,3,7,10,0.3
"171",595928,17,54,71,0.23943661971831
"172",595978,5,10,15,0.333333333333333
"173",596001,90,233,323,0.278637770897833
"174",596057,10,35,45,0.222222222222222
"175",596082,5,1,6,0.833333333333333
"176",596112,27,146,173,0.15606936416185
"177",596133,155,348,503,0.308151093439364
"178",596271,32,73,105,0.304761904761905
"179",596295,164,369,533,0.307692307692308
"180",598264,25,58,83,0.301204819277108
"181",598286,40,110,150,0.266666666666667
"182",600917,37,163,200,0.185
"183",600921,53,129,182,0.291208791208791
"184",600986,0,8,8,0
"185",601713,110,408,518,0.212355212355212
"186",605130,60,177,237,0.253164556962025
