"","pitcher","hit","out","total","obp"
"1",425794,97,198,295,0.328813559322034
"2",434378,35,100,135,0.259259259259259
"3",445926,17,65,82,0.207317073170732
"4",448179,125,294,419,0.298329355608592
"5",450203,101,286,387,0.260981912144703
"6",453268,21,86,107,0.196261682242991
"7",453286,70,232,302,0.231788079470199
"8",456501,36,100,136,0.264705882352941
"9",456713,5,16,21,0.238095238095238
"10",458681,38,131,169,0.224852071005917
"11",471911,75,177,252,0.297619047619048
"12",472551,2,5,7,0.285714285714286
"13",472610,40,115,155,0.258064516129032
"14",476595,13,32,45,0.288888888888889
"15",477132,69,267,336,0.205357142857143
"16",488984,28,65,93,0.301075268817204
"17",489119,76,245,321,0.236760124610592
"18",489446,24,119,143,0.167832167832168
"19",493603,31,105,136,0.227941176470588
"20",500743,3,7,10,0.3
"21",500779,48,126,174,0.275862068965517
"22",502085,37,137,174,0.21264367816092
"23",502171,113,273,386,0.292746113989637
"24",502179,14,10,24,0.583333333333333
"25",502202,9,46,55,0.163636363636364
"26",502624,55,149,204,0.269607843137255
"27",506433,88,253,341,0.258064516129032
"28",518397,43,83,126,0.341269841269841
"29",518489,9,64,73,0.123287671232877
"30",518516,25,42,67,0.373134328358209
"31",518585,40,134,174,0.229885057471264
"32",518876,106,362,468,0.226495726495726
"33",518886,28,133,161,0.173913043478261
"34",519008,4,5,9,0.444444444444444
"35",519043,4,12,16,0.25
"36",523260,3,23,26,0.115384615384615
"37",527054,58,161,219,0.264840182648402
"38",541640,29,51,80,0.3625
"39",543063,1,2,3,0.333333333333333
"40",543101,76,162,238,0.319327731092437
"41",543272,48,117,165,0.290909090909091
"42",543281,6,2,8,0.75
"43",543294,93,274,367,0.253405994550409
"44",543339,1,6,7,0.142857142857143
"45",543518,41,144,185,0.221621621621622
"46",543521,49,116,165,0.296969696969697
"47",543594,7,9,16,0.4375
"48",543859,41,162,203,0.201970443349754
"49",545121,2,2,4,0.5
"50",547179,41,114,155,0.264516129032258
"51",548384,32,119,151,0.211920529801325
"52",548389,52,135,187,0.27807486631016
"53",554430,112,357,469,0.238805970149254
"54",570632,27,46,73,0.36986301369863
"55",570666,35,54,89,0.393258426966292
"56",571466,6,9,15,0.4
"57",571479,22,55,77,0.285714285714286
"58",571539,16,52,68,0.235294117647059
"59",571578,127,262,389,0.326478149100257
"60",571656,35,125,160,0.21875
"61",571670,38,69,107,0.355140186915888
"62",571863,26,59,85,0.305882352941176
"63",571882,38,106,144,0.263888888888889
"64",571912,5,3,8,0.625
"65",571927,76,176,252,0.301587301587302
"66",571945,166,380,546,0.304029304029304
"67",571946,15,93,108,0.138888888888889
"68",571948,32,115,147,0.217687074829932
"69",572008,2,3,5,0.4
"70",572193,3,6,9,0.333333333333333
"71",572403,31,109,140,0.221428571428571
"72",572888,2,8,10,0.2
"73",572955,48,126,174,0.275862068965517
"74",573009,29,78,107,0.271028037383178
