"","batter","pitcher","hit","out","total"
"1",408234,425844,0,2,2
"2",408234,434378,0,1,1
"3",408234,445276,1,1,2
"4",408234,445926,1,0,1
"5",408234,448179,0,2,2
"6",408234,456501,1,1,2
"7",408234,458681,1,4,5
"8",408234,502043,0,1,1
"9",408234,518489,0,1,1
"10",408234,518585,0,1,1
"11",408234,518617,0,1,1
"12",408234,519151,1,0,1
"13",408234,519242,1,3,4
"14",408234,527048,3,0,3
"15",408234,542881,1,2,3
"16",408234,542888,0,1,1
"17",408234,543037,1,1,2
"18",408234,543243,2,2,4
"19",408234,543475,2,1,3
"20",408234,543521,0,1,1
"21",408234,548389,1,2,3
"22",408234,571578,0,2,2
"23",408234,571760,2,0,2
"24",408234,571927,1,1,2
"25",408234,572403,0,1,1
"26",408234,573124,1,0,1
"27",408234,592332,1,2,3
"28",408234,592767,0,2,2
"29",408234,592773,0,1,1
"30",408234,592779,0,1,1
"31",408234,592836,1,1,2
"32",408234,592848,0,1,1
"33",408234,594577,0,1,1
"34",408234,594835,0,1,1
"35",408234,594943,0,2,2
"36",408234,595345,0,1,1
"37",408234,596001,1,1,2
"38",408234,596112,0,1,1
"39",408234,596295,1,2,3
"40",408234,605135,1,1,2
"41",408234,605182,3,5,8
"42",408234,605280,0,1,1
"43",408234,605347,0,1,1
"44",408234,605400,0,2,2
"45",408234,605488,0,2,2
"46",408234,606149,0,1,1
"47",408234,606160,0,1,1
"48",408234,606303,1,0,1
"49",408234,607067,0,2,2
"50",408234,607074,0,2,2
"51",408234,607457,0,1,1
"52",408234,607481,0,1,1
"53",408234,608337,0,4,4
"54",408234,608638,1,1,2
"55",408234,613534,0,1,1
"56",408234,614179,1,0,1
"57",408234,615698,2,0,2
"58",408234,621016,1,1,2
"59",408234,621107,1,0,1
"60",408234,621249,1,0,1
"61",408234,621363,1,0,1
"62",408234,622103,0,1,1
"63",408234,622250,0,1,1
"64",408234,622554,0,1,1
"65",408234,622663,1,2,3
"66",408234,623352,0,1,1
"67",408234,623433,0,1,1
"68",408234,623437,0,1,1
"69",408234,625643,0,1,1
"70",408234,628317,2,2,4
"71",408234,628452,1,0,1
"72",408234,640454,0,1,1
"73",408234,640455,0,1,1
"74",408234,641154,0,4,4
"75",408234,641329,0,2,2
"76",408234,641540,0,2,2
"77",408234,641729,0,1,1
"78",408234,641778,1,1,2
"79",408234,641793,1,1,2
"80",408234,641871,0,1,1
"81",408234,641927,3,1,4
"82",408234,641941,0,4,4
"83",408234,642048,0,2,2
"84",408234,642232,0,2,2
"85",408234,642528,0,1,1
"86",408234,642585,0,2,2
"87",408234,643377,0,2,2
"88",408234,643493,0,1,1
"89",408234,643511,0,1,1
"90",408234,646242,1,0,1
"91",408234,650644,1,1,2
"92",408234,656061,0,2,2
"93",408234,656234,0,1,1
"94",408234,656288,1,2,3
"95",408234,656464,0,1,1
"96",408234,656756,0,3,3
"97",408234,657024,0,1,1
"98",408234,657044,0,1,1
"99",408234,657053,1,2,3
"100",408234,657376,0,2,2
"101",408234,657508,0,2,2
"102",408234,657571,0,1,1
"103",408234,660261,0,1,1
"104",408234,660761,0,1,1
"105",408234,660853,1,0,1
"106",408234,661309,0,1,1
"107",408234,661395,0,2,2
"108",408234,661403,0,1,1
"109",408234,663474,1,1,2
"110",408234,663556,0,2,2
"111",408234,663738,0,3,3
"112",408234,663776,1,1,2
"113",408234,663804,0,1,1
"114",408234,664126,0,1,1
"115",408234,664139,1,1,2
"116",408234,664199,0,1,1
"117",408234,664208,1,0,1
"118",408234,664285,0,5,5
"119",408234,664942,1,0,1
"120",408234,665622,0,2,2
"121",408234,665625,0,1,1
"122",408234,666129,0,1,1
"123",408234,666200,1,1,2
"124",408234,666201,0,2,2
"125",408234,666277,0,1,1
"126",408234,666364,1,1,2
"127",408234,666619,0,1,1
"128",408234,666720,0,1,1
"129",408234,666721,0,1,1
"130",408234,666808,0,1,1
"131",408234,667755,1,0,1
"132",408234,668678,1,2,3
"133",408234,668909,1,1,2
"134",408234,669060,0,1,1
"135",408234,669169,0,1,1
"136",408234,669194,1,1,2
"137",408234,669212,1,2,3
"138",408234,669330,0,2,2
"139",408234,669684,0,1,1
"140",408234,669713,0,1,1
"141",408234,669923,2,0,2
