"","batter","pitcher","hit","out","total"
"1",425794,641427,0,1,1
"2",425794,682227,0,1,1
"3",443558,448179,1,2,3
"4",443558,476595,1,1,2
"5",443558,477132,0,3,3
"6",443558,489119,0,3,3
"7",443558,502085,1,0,1
"8",443558,502171,1,1,2
"9",443558,502202,0,2,2
"10",443558,518397,0,1,1
"11",443558,543518,0,1,1
"12",443558,548384,0,1,1
"13",443558,571578,0,2,2
"14",443558,572955,0,1,1
"15",443558,573124,1,0,1
"16",443558,592767,1,1,2
"17",443558,596001,1,2,3
"18",443558,596295,0,3,3
"19",443558,605154,1,0,1
"20",443558,607067,0,2,2
"21",443558,607179,0,1,1
"22",443558,607536,0,2,2
"23",443558,608331,1,1,2
"24",443558,608718,0,1,1
"25",443558,612434,0,1,1
"26",443558,621345,0,1,1
"27",443558,622065,0,1,1
"28",443558,622072,0,1,1
"29",443558,623211,0,1,1
"30",443558,624647,0,2,2
"31",443558,628711,0,6,6
"32",443558,640448,0,1,1
"33",443558,640455,2,0,2
"34",443558,640470,0,1,1
"35",443558,641729,0,1,1
"36",443558,641771,1,0,1
"37",443558,641778,1,2,3
"38",443558,642207,0,2,2
"39",443558,642547,2,1,3
"40",443558,643511,1,0,1
"41",443558,656849,0,3,3
"42",443558,657265,1,0,1
"43",443558,657571,1,0,1
"44",443558,660813,1,0,1
"45",443558,663546,0,2,2
"46",443558,663658,0,1,1
"47",443558,664062,0,2,2
"48",443558,664139,0,1,1
"49",443558,664948,0,1,1
"50",443558,665665,0,1,1
"51",443558,666129,0,2,2
"52",443558,666168,0,1,1
"53",443558,666808,0,1,1
"54",443558,668678,1,3,4
"55",443558,668933,1,2,3
"56",443558,669022,3,0,3
"57",443558,669060,0,1,1
"58",443558,669276,0,1,1
"59",443558,669459,0,1,1
"60",443558,671096,0,3,3
"61",443558,672710,1,0,1
"62",443558,677865,0,1,1
"63",443558,686747,0,1,1
"64",443558,686753,0,2,2
"65",443558,689266,2,0,2
"66",443558,694363,3,0,3
"67",444482,425794,0,1,1
"68",444482,434378,0,2,2
"69",444482,450203,1,4,5
"70",444482,453268,1,0,1
"71",444482,453286,0,4,4
"72",444482,472610,0,1,1
"73",444482,493603,1,1,2
"74",444482,502085,0,1,1
"75",444482,502171,1,1,2
"76",444482,502202,0,1,1
"77",444482,502624,0,2,2
"78",444482,506433,1,4,5
"79",444482,518585,0,1,1
"80",444482,518876,4,5,9
"81",444482,518886,0,1,1
"82",444482,541640,0,1,1
"83",444482,543272,0,1,1
"84",444482,543518,0,1,1
"85",444482,548389,2,1,3
"86",444482,571656,0,1,1
"87",444482,571863,0,3,3
"88",444482,571882,0,1,1
"89",444482,571945,1,2,3
"90",444482,572403,0,2,2
"91",444482,572955,0,1,1
"92",444482,573009,0,1,1
"93",444482,573124,0,1,1
"94",444482,573186,0,2,2
"95",444482,592426,0,1,1
"96",444482,592767,1,0,1
"97",444482,592836,1,3,4
"98",444482,592866,2,2,4
"99",444482,595345,1,0,1
"100",444482,596001,0,1,1
"101",444482,596112,0,1,1
"102",444482,596133,1,3,4
"103",444482,596295,1,1,2
"104",444482,600921,0,2,2
"105",444482,605200,0,2,2
"106",444482,605242,2,1,3
"107",444482,605288,1,1,2
"108",444482,605347,1,0,1
"109",444482,605397,1,3,4
"110",444482,605400,3,3,6
"111",444482,606149,0,1,1
"112",444482,606303,0,2,2
"113",444482,607067,1,0,1
"114",444482,607259,0,2,2
"115",444482,607625,1,1,2
"116",444482,608371,1,0,1
"117",444482,608379,0,1,1
"118",444482,608566,0,2,2
"119",444482,608678,0,1,1
"120",444482,608718,0,1,1
"121",444482,612434,0,1,1
"122",444482,621051,0,2,2
"123",444482,621249,0,1,1
"124",444482,621366,0,2,2
"125",444482,622065,2,1,3
"126",444482,622098,0,1,1
"127",444482,622554,0,1,1
"128",444482,623167,0,3,3
"129",444482,623433,0,1,1
"130",444482,640451,0,1,1
"131",444482,640462,0,1,1
"132",444482,640470,1,0,1
"133",444482,642121,1,0,1
"134",444482,642547,1,1,2
"135",444482,643511,0,2,2
"136",444482,645261,0,3,3
"137",444482,656234,1,1,2
"138",444482,656257,0,1,1
"139",444482,656427,0,3,3
"140",444482,656464,0,1,1
"141",444482,656546,1,0,1
"142",444482,656605,3,2,5
"143",444482,656731,0,3,3
"144",444482,656814,1,0,1
"145",444482,656849,0,1,1
"146",444482,656945,0,1,1
"147",444482,656981,0,2,2
"148",444482,657277,2,3,5
"149",444482,657756,1,1,2
"150",444482,658648,0,1,1
"151",444482,660787,0,2,2
"152",444482,663158,1,0,1
"153",444482,663321,0,1,1
"154",444482,663372,1,1,2
"155",444482,663546,0,2,2
"156",444482,663562,1,1,2
"157",444482,663567,1,3,4
"158",444482,663623,2,4,6
"159",444482,663765,0,2,2
"160",444482,663773,1,0,1
